name,type,start_time,duration,"data","error"
"bidirectionalExtensionBoard","data",0.4082775,0.00395825,0x01,
"mainboardBlue","data",0.40895125,0.0009895,0xAA,
"mainboardBlue","data",0.410001,0.0009895,0x20,
"mainboardBlue","data",0.41105075,0.0009895,0x1D,
"mainboardBlue","data",0.41210125,0.0009895,0x03,
"bidirectionalExtensionBoard","data",0.41244525,0.00395825,0x43,
"mainboardBlue","data",0.41315025,0.0009895,0x00,
"mainboardBlue","data",0.4142,0.0009895,0x64,
"mainboardBlue","data",0.41524975,0.0009895,0x00,
"mainboardBlue","data",0.4162995,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.416613,0.00395825,0x00,
"mainboardBlue","data",0.41734925,0.0009895,0x00,
"mainboardBlue","data",0.41839825,0.0009895,0x00,
"mainboardBlue","data",0.419448,0.0009895,0x00,
"mainboardBlue","data",0.42049775,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.420781,0.00395825,0x00,
"mainboardBlue","data",0.42154725,0.0009895,0x00,
"mainboardBlue","data",0.42259675,0.0009895,0x01,
"mainboardBlue","data",0.4236465,0.0009895,0x00,
"mainboardBlue","data",0.42469625,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.424949,0.00395825,0x00,
"mainboardBlue","data",0.42574625,0.0009895,0x00,
"mainboardBlue","data",0.426796,0.0009895,0x00,
"mainboardBlue","data",0.42784575,0.0009895,0x00,
"mainboardBlue","data",0.4288955,0.0009895,0xFF,
"bidirectionalExtensionBoard","data",0.429117,0.00395825,0x00,
"mainboardBlue","data",0.42994525,0.0009895,0x00,
"mainboardBlue","data",0.430995,0.0009895,0x00,
"mainboardBlue","data",0.43204475,0.0009895,0x00,
"mainboardBlue","data",0.43309425,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.4332845,0.00395825,0x00,
"mainboardBlue","data",0.43414425,0.0009895,0x00,
"mainboardBlue","data",0.43519375,0.0009895,0x00,
"mainboardBlue","data",0.43624375,0.0009895,0x00,
"mainboardBlue","data",0.43729325,0.0009895,0xDC,
"bidirectionalExtensionBoard","data",0.4374625,0.00395825,0x00,
"mainboardBlue","data",0.4383545,0.0009895,0x80,
"bidirectionalExtensionBoard","data",0.44162975,0.00395825,0x00,
"bidirectionalExtensionBoard","data",0.44579975,0.00395825,0x00,
"bidirectionalExtensionBoard","data",0.4499675,0.00395825,0x00,
"bidirectionalExtensionBoard","data",0.45413525,0.00395825,0x00,
"bidirectionalExtensionBoard","data",0.458303,0.00395825,0x00,
"bidirectionalExtensionBoard","data",0.46247075,0.00395825,0x00,
"bidirectionalExtensionBoard","data",0.46663875,0.00395825,0x00,
"mainboardGrey","data",0.4707655,0.0009895,0xAA,
"bidirectionalExtensionBoard","data",0.47080625,0.00395825,0x00,
"mainboardGrey","data",0.47181625,0.0009895,0x30,
"mainboardGrey","data",0.47286675,0.0009895,0x0A,
"mainboardGrey","data",0.473917,0.0009895,0x01,
"mainboardGrey","data",0.4749675,0.0009895,0xFF,
"bidirectionalExtensionBoard","data",0.47497425,0.00395825,0x00,
"mainboardGrey","data",0.476018,0.0009895,0x03,
"mainboardGrey","data",0.47706825,0.0009895,0x00,
"mainboardGrey","data",0.47811925,0.0009895,0x42,
"bidirectionalExtensionBoard","data",0.479142,0.00395825,0x00,
"mainboardGrey","data",0.4791695,0.0009895,0x75,
"mainboardGrey","data",0.4802205,0.0009895,0x0C,
"bidirectionalExtensionBoard","data",0.48330975,0.00395825,0x00,
"bidirectionalExtensionBoard","data",0.48747775,0.00395825,0x00,
"bidirectionalExtensionBoard","data",0.4916445,0.00395825,0x6F,
"bidirectionalExtensionBoard","data",0.495812,0.00395825,0x65,
"bidirectionalExtensionBoard","data",0.49997975,0.00395825,0xFB,
"mainboardBlue","data",0.50093875,0.0009895,0xAA,
"mainboardBlue","data",0.5019885,0.0009895,0x30,
"mainboardBlue","data",0.503038,0.0009895,0x40,
"mainboardBlue","data",0.50408775,0.0009895,0x08,
"bidirectionalExtensionBoard","data",0.504147,0.00395825,0x00,
"mainboardBlue","data",0.5051375,0.0009895,0x07,
"mainboardBlue","data",0.506205,0.0009895,0x36,
"mainboardBlue","data",0.50725375,0.0009895,0x10,
"mainboardBlue","data",0.5083035,0.0009895,0xC8,
"bidirectionalExtensionBoard","data",0.5083145,0.00395825,0xF1,
"mainboardBlue","data",0.509353,0.0009895,0x00,
"mainboardBlue","data",0.51040275,0.0009895,0xCC,
"mainboardBlue","data",0.5114525,0.0009895,0x01,
"mainboardBlue","data",0.512502,0.0009895,0x7D,
"mainboardBlue","data",0.51355175,0.0009895,0x50,
"mainboardBlue","data",0.5146015,0.0009895,0x5A,
"mainboardBlue","data",0.51565125,0.0009895,0x00,
"mainboardBlue","data",0.51670425,0.0009895,0x07,
"mainboardBlue","data",0.517754,0.0009895,0xA0,
"mainboardBlue","data",0.5188035,0.0009895,0x03,
"mainboardBlue","data",0.519853,0.0009895,0x89,
"mainboardBlue","data",0.520903,0.0009895,0x8A,
"mainboardBlue","data",0.52195275,0.0009895,0x00,
"mainboardBlue","data",0.52300225,0.0009895,0x00,
"mainboardBlue","data",0.524052,0.0009895,0x00,
"mainboardBlue","data",0.52510175,0.0009895,0x00,
"mainboardBlue","data",0.52616125,0.0009895,0x00,
"mainboardBlue","data",0.52721075,0.0009895,0x00,
"mainboardBlue","data",0.5282605,0.0009895,0x40,
